Date,Temperature,,,,,HDD,CDD,Precipitation,New Snow,Snow Depth
,Maximum,Minimum,Average,Departure,,,,,,
2018-10-01,76,63,69.5,6.0,,0,5,0.00,0.0,0
2018-10-02,77,65,71.0,7.9,,0,6,0.69,0.0,0
2018-10-03,74,63,68.5,5.8,,0,4,0.00,0.0,0
2018-10-04,76,61,68.5,6.2,,0,4,0.04,0.0,0
2018-10-05,71,60,65.5,3.6,,0,1,0.00,0.0,0
2018-10-06,68,63,65.5,4.0,,0,1,0.00,0.0,0
2018-10-07,79,67,73.0,11.9,,0,8,0.00,0.0,0
2018-10-08,74,64,69.0,8.2,,0,4,0.00,0.0,0
2018-10-09,77,66,71.5,11.1,,0,7,T,0.0,0
2018-10-10,80,71,75.5,15.5,,0,11,0.00,0.0,0
2018-10-11,77,69,73.0,13.4,,0,8,0.84,0.0,0
2018-10-12,68,51,59.5,0.2,,5,0,0.43,0.0,0
2018-10-13,55,46,50.5,-8.4,,14,0,0.10,0.0,0
2018-10-14,58,47,52.5,-6.0,,12,0,0.00,0.0,0
2018-10-15,68,52,60.0,1.8,,5,0,0.05,0.0,0
2018-10-16,60,47,53.5,-4.3,,11,0,0.01,0.0,0
2018-10-17,61,46,53.5,-4.0,,11,0,0.00,0.0,0
2018-10-18,50,42,46.0,-11.1,,19,0,0.00,0.0,0
2018-10-19,60,43,51.5,-5.3,,13,0,0.00,0.0,0
2018-10-20,62,51,56.5,0.1,,8,0,0.06,0.0,0
2018-10-21,51,39,45.0,-11.1,,20,0,T,0.0,0
2018-10-22,50,39,44.5,-11.3,,20,0,0.00,0.0,0
2018-10-23,63,49,56.0,0.6,,9,0,T,0.0,0
2018-10-24,54,44,49.0,-6.1,,16,0,0.00,0.0,0
2018-10-25,51,40,45.5,-9.3,,19,0,0.00,0.0,0
2018-10-26,50,38,44.0,-10.4,,21,0,T,0.0,0
2018-10-27,51,44,47.5,-6.6,,17,0,1.27,0.0,0
2018-10-28,52,45,48.5,-5.3,,16,0,0.07,0.0,0
2018-10-29,56,47,51.5,-2.0,,13,0,0.03,0.0,0
2018-10-30,55,42,48.5,-4.7,,16,0,0.00,0.0,0
2018-10-31,64,44,54.0,1.2,,11,0,0.00,0.0,0
October Sum,1968,1608,-,-,,276,59,3.59,0.0,-
October Average,63.5,51.9,57.7,-0.2,,-,-,-,-,0.0
October Normal,64.5,51.4,57.9,-,,240,22,4.38,0.1,-
2020-03-01,44,25,34.5,-4.3,,30,0,0.00,0.0,0
2020-03-02,58,40,49.0,10.0,,16,0,0.00,0.0,0
2020-03-03,59,49,54.0,14.8,,11,0,0.26,0.0,0
2020-03-04,56,45,50.5,11.0,,14,0,T,0.0,0
2020-03-05,51,39,45.0,5.3,,20,0,0.00,0.0,0
2020-03-06,45,37,41.0,1.0,,24,0,0.37,0.0,0
2020-03-07,48,36,42.0,1.8,,23,0,0.00,0.0,0
2020-03-08,59,35,47.0,6.5,,18,0,0.00,0.0,0
2020-03-09,72,47,59.5,18.8,,5,0,0.00,0.0,0
2020-03-10,65,54,59.5,18.5,,5,0,T,0.0,0
2020-03-11,57,43,50.0,8.8,,15,0,0.00,0.0,0
2020-03-12,50,43,46.5,5.0,,18,0,0.03,0.0,0
2020-03-13,70,45,57.5,15.7,,7,0,0.26,0.0,0
2020-03-14,57,43,50.0,7.9,,15,0,0.00,0.0,0
2020-03-15,54,40,47.0,4.7,,18,0,0.00,0.0,0
2020-03-16,45,33,39.0,-3.6,,26,0,0.00,0.0,0
2020-03-17,54,41,47.5,4.6,,17,0,0.16,0.0,0
2020-03-18,54,41,47.5,4.3,,17,0,T,0.0,0
2020-03-19,52,41,46.5,3.0,,18,0,0.93,0.0,0
2020-03-20,77,47,62.0,18.1,,3,0,T,0.0,0
2020-03-21,65,40,52.5,8.3,,12,0,0.00,0.0,0
2020-03-22,45,33,39.0,-5.5,,26,0,0.00,0.0,0
2020-03-23,41,36,38.5,-6.3,,26,0,1.16,T,0
2020-03-24,55,36,45.5,0.3,,19,0,0.00,0.0,0
2020-03-25,45,40,42.5,-3.0,,22,0,0.01,0.0,0
2020-03-26,60,38,49.0,3.1,,16,0,0.00,0.0,0
2020-03-27,69,50,59.5,13.3,,5,0,T,0.0,0
2020-03-28,54,44,49.0,2.4,,16,0,0.45,0.0,0
2020-03-29,47,44,45.5,-1.4,,19,0,0.05,0.0,0
2020-03-30,52,41,46.5,-0.8,,18,0,0.04,0.0,0
2020-03-31,49,41,45.0,-2.7,,20,0,0.06,0.0,0
March Sum,1709,1267,-,-,,519,0,3.78,T,-
March Average,55.1,40.9,48.0,5.2,,-,-,-,-,0.0
March Normal,49.9,35.8,42.8,-,,688,1,4.29,5.0,-
