,the_geom,NAME,BIN,CNSTRCT_YR,LSTMODDATE,LSTSTATYPE,DOITT_ID,HEIGHTROOF,FEAT_CODE,GROUNDELEV,SHAPE_AREA,SHAPE_LEN,BASE_BBL,MPLUTO_BBL,GEOMSOURCE,GLOBALID,index_right,Id
52254,"MULTIPOLYGON (((-73.9711754290161 40.7678766925835, -73.97110146801073 40.767846034419044, -73.97107785288544 40.76785175389575, -73.9710559604168 40.76784267222166, -73.97104831192985 40.767825148299565, -73.97105969083844 40.767808408093565, -73.97108266004848 40.76780359076312, -73.97117961370803 40.76766838821934, -73.97117359947124 40.76765140771771, -73.97118602520183 40.767634997345034, -73.97120657549688 40.76763078992632, -73.97125196367388 40.76756749585026, -73.97124756222956 40.76755686880824, -73.9712585083982 40.76754089750413, -73.97127363496286 40.76753727584865, -73.97137174097294 40.76740046602622, -73.97137092687043 40.767382132468576, -73.97138305906208 40.76736503671776, -73.97140753854465 40.7673594704783, -73.97143002423222 40.76736869541346, -73.97143734421837 40.767387306137955, -73.97151223920633 40.767418351536485, -73.97153194011453 40.767414317646825, -73.97155352440335 40.76742376475951, -73.97155456543243 40.76742670516119, -73.97156000008145 40.76744204928523, -73.97154757447896 40.76745845969864, -73.97152352518943 40.767463383114496, -73.97142914188119 40.76759500348469, -73.97143673996759 40.7676142266201, -73.97142463260897 40.767631341292606, -73.97140384521069 40.76763609169515, -73.97139886068867 40.76763723049553, -73.9713604056161 40.76769085674383, -73.97136880680638 40.767709902683784, -73.97135708163829 40.76772781348926, -73.97132871758502 40.76773504558346, -73.97123444491056 40.76786650822844, -73.97123927520434 40.76788520118882, -73.97122530402558 40.76790101504721, -73.97120071736552 40.76790468656113, -73.97117991756707 40.767894065322466, -73.9711754290161 40.7678766925835)))",Central Park-The Arsenal,1083811,1851.0,11/16/2020,Constructed,159673,77.0,2100,45.0,0,0,1011110001,1011110001,Other (Man,{39C7E256-76CC-478A-9FB9-5F69A45BDF5F},0,0
52255,"MULTIPOLYGON (((-73.96395111626312 40.78318848526682, -73.96389279227624 40.78314308442824, -73.96385273359982 40.783100555587026, -73.96383043771822 40.78307210804886, -73.96379444328066 40.78302618377029, -73.96378731164299 40.7830170846621, -73.9637891350425 40.78301461515904, -73.96380730974758 40.78299000835781, -73.96383173591487 40.7829569351984, -73.96385288516439 40.782928299578415, -73.96387279785544 40.782901338499876, -73.96388005111656 40.78289151810154, -73.96448554573232 40.78314989541392, -73.96461830803355 40.78320654718483, -73.96461423330314 40.78321206420754, -73.96460759541559 40.78322105097612, -73.96454841747966 40.78330117832883, -73.96453717963098 40.783316394248544, -73.96446663511571 40.78328629126326, -73.96450375595528 40.78323603040058, -73.96434869927228 40.78316986500769, -73.96427342077098 40.7832460925685, -73.96438505871504 40.78330723516147, -73.96435316047078 40.78334093197395, -73.96431565302531 40.783380554142084, -73.96431080841897 40.7833856719933, -73.96430983523078 40.78338669916424, -73.96427624723489 40.7833723662797, -73.96424561549665 40.78335504283635, -73.96408576199924 40.7832646350002, -73.96398155835435 40.783205702470504, -73.96395111626312 40.78318848526682)))",Central Park-22nd Police Precinct,1089496,1871.0,11/16/2020,Constructed,488697,16.0,2100,112.0,0,0,1011110001,1011110001,Other (Man,{C8F7EBC6-4B27-427E-8ABD-405723147E22},0,0
52625,"MULTIPOLYGON (((-73.95269085720317 40.794121346548756, -73.95270909778155 40.79409745295964, -73.95284760719329 40.79415852759454, -73.95281673701975 40.79419896452675, -73.95277742134678 40.794250463336006, -73.95275916889183 40.79427437133849, -73.9526206593202 40.794213296598464, -73.95267742819205 40.79413893680857, -73.95269085720317 40.794121346548756)))",Conservatory Garden,1088629,1890.0,04/10/2020,Constructed,498921,10.66,2100,24.0,0,0,1011110001,1011110001,Photogramm,{09E466FF-7888-4746-AA1D-6344AD82081E},0,0
52626,"MULTIPOLYGON (((-73.95304441106086 40.793640163879886, -73.95306248842316 40.79361548132845, -73.95320545746954 40.793675961223094, -73.95311752459344 40.79379602069683, -73.95297455536917 40.793735540694236, -73.95302297367876 40.79366943310743, -73.95304441106086 40.793640163879886)))",Conservatory Garden,1088622,1890.0,04/10/2020,Constructed,528145,10.25676537,2100,26.0,0,0,1011110001,1011110001,Photogramm,{0D6FC0F8-4797-43E1-86BB-1C998679A945},0,0
60469,"MULTIPOLYGON (((-73.97370768880343 40.76922216252655, -73.97359704774163 40.76917615751801, -73.97361507783103 40.76915109343236, -73.97355146348077 40.76912464276629, -73.97359856638784 40.76905916355232, -73.97363237432309 40.76907322185028, -73.97364327246596 40.769058072471964, -73.97361405823574 40.769045924296705, -73.97362436975614 40.76903158974148, -73.97365219815899 40.768992903274096, -73.97368141355739 40.76900505144012, -73.97368484677418 40.769000278655184, -73.97369291844618 40.76898905752328, -73.97373523637626 40.76900665401117, -73.97372375164154 40.76902261912067, -73.973723731495 40.769022647031676, -73.97378587379333 40.769048486726774, -73.97378712762108 40.76904674273673, -73.97379737866449 40.76903249279966, -73.97383479622313 40.769048050296874, -73.9738319330434 40.76905203077263, -73.97382329135829 40.76906404422775, -73.97385594469931 40.76907762132887, -73.9738354781721 40.76910607169283, -73.97381780370533 40.76913064241796, -73.97378424084137 40.769116686887756, -73.9737733427206 40.76913183717969, -73.97380690559027 40.76914579181262, -73.97375980282678 40.769211271110905, -73.97372571886372 40.76919709842378, -73.97370768880343 40.76922216252655)))",,1083825,1871.0,03/04/2021,Constructed,493848,32.0,2100,62.0,0,0,1011110001,1011110001,Other (Man,{6C952A6B-8590-44A2-81AC-97FDE6D76950},0,0
61759,"MULTIPOLYGON (((-73.97217220777215 40.76748139860507, -73.97196165480548 40.76739271547948, -73.97200762830221 40.767329622958954, -73.97221817994621 40.76741830600113, -73.97217220777215 40.76748139860507)))",,1090841,,08/16/2019,Constructed,1288658,17.0,2100,46.0,0,0,1011110001,1011110001,Other (Man,{B8F3BD17-E987-4422-8FC7-B2235650A187},0,0
61947,"MULTIPOLYGON (((-73.97103398202393 40.76810469074779, -73.97086363454004 40.76803624103664, -73.9708290134953 40.768042298068856, -73.97078327835709 40.76802276896436, -73.97076496049043 40.76798395531212, -73.97081492259368 40.767906675949064, -73.97086265246001 40.767895901796685, -73.97091618008317 40.76791762376277, -73.97092569491554 40.76795207313057, -73.97109584940466 40.768020020221385, -73.97103398202393 40.76810469074779)))",,1090852,,08/16/2019,Constructed,1288661,29.0,2100,46.0,0,0,1011110001,1011110001,Other (Man,{0F5A860D-DF19-4092-B1A9-EB6B510D080D},0,0
63194,"MULTIPOLYGON (((-73.96238408594152 40.78213725205136, -73.96238734160087 40.78213275961022, -73.9624126071469 40.78214333704284, -73.96243105412708 40.78215106035815, -73.96259076192523 40.782217924139694, -73.962641056274 40.78223898067841, -73.9626405772932 40.7822396414914, -73.96263641347835 40.78224538804411, -73.96263181454877 40.78225173509019, -73.96262113350464 40.78226647644172, -73.96257289980136 40.782333042084005, -73.96231918487851 40.7822268208673, -73.96235882907312 40.7821721094314, -73.96237739678068 40.78214648361274, -73.96238408594152 40.78213725205136)))",,1083822,,08/22/2017,Constructed,335308,36.0,2100,117.0,0,0,1011110001,1011110001,Other (Man,{BA53C0FB-AEE4-4D89-BE85-1F7DCBDFC906},0,0
69219,"MULTIPOLYGON (((-73.97182579818752 40.768270845408686, -73.97178013311972 40.768336462935665, -73.97171395468091 40.76831029158053, -73.97169551626571 40.76830283898704, -73.97160934130254 40.76826800701686, -73.97158204490535 40.76825697362078, -73.97151121405324 40.768228343526886, -73.97145462624785 40.768204696704, -73.97124855488894 40.76811354061239, -73.9713568046589 40.7679587376801, -73.97141786771712 40.76798341944043, -73.97138918820531 40.768024432964744, -73.97137165266778 40.76804950943632, -73.97135547648965 40.76807264295625, -73.97133903008513 40.76809616182217, -73.97150258651796 40.76816227144279, -73.97152342055631 40.76817069270082, -73.97153938033537 40.768177144250245, -73.97175378428955 40.76826380564931, -73.97178272907857 40.76822258768637, -73.97196615831223 40.76818815578201, -73.9720108759132 40.76820623075637, -73.97212074772409 40.76804904116826, -73.9721130012197 40.768024442036676, -73.97212006033148 40.7680132765994, -73.97213295185634 40.76799288601219, -73.9721366935615 40.76798696790666, -73.97214478853812 40.767974162901176, -73.97215929193023 40.76795122337475, -73.97219562459455 40.76795013263348, -73.97231531366026 40.767780474147465, -73.9722680999944 40.76776122083053, -73.97226103096442 40.767742292342525, -73.97226086296392 40.76774184295076, -73.97225366616293 40.76772257314064, -73.9722183530377 40.76762801714704, -73.97224715630632 40.76758682514417, -73.97204493827952 40.767505088864276, -73.9720092034081 40.767490645113746, -73.97197474631932 40.76747671765157, -73.97188858412129 40.76744189039133, -73.97183336428792 40.76741957052732, -73.97181222864413 40.76744979706922, -73.97179487118709 40.7674746197088, -73.97177682633907 40.767500425527345, -73.97176299818834 40.76752019990212, -73.97175337251983 40.76753396534386, -73.9717388990619 40.76752811482399, -73.97169056540406 40.767508578236686, -73.97180600690847 40.76734348657964, -73.97216330690986 40.76749834843731, -73.97224642825478 40.76753194647222, -73.97226794889222 40.76750116883548, -73.97223614202036 40.7674883118878, -73.97230489323982 40.76738998982659, -73.97232035666573 40.76736787627057, -73.97240587833316 40.767402443709805, -73.97239041492757 40.767424557277124, -73.9723216637987 40.76752287938885, -73.97228486543081 40.767508005928136, -73.97226334479896 40.767538783568035, -73.97234950139735 40.76757360784457, -73.97230412598705 40.7676343341192, -73.97233292146926 40.76771725491443, -73.97240849179859 40.76775252685511, -73.9723938247156 40.767773501475325, -73.97238286706106 40.76778917301618, -73.9723801483865 40.76779306073934, -73.97236921442854 40.76780869716489, -73.97225606081506 40.76797052019691, -73.97225511508137 40.767971871625136, -73.97225968780667 40.76798121274999, -73.97226651731111 40.76799516499657, -73.97221678443559 40.76806628739912, -73.97219490649562 40.76807009395328, -73.97217412304225 40.76807371076135, -73.97212275096514 40.76814717673752, -73.9720515099 40.76824905776607, -73.97204416321243 40.76825956305983, -73.97204369034124 40.76826023922329, -73.9720360343283 40.76827118929025, -73.97203051156828 40.76827908806782, -73.97202833683362 40.76828219697881, -73.97202714668362 40.76828171582094, -73.97193915378465 40.76824614974552, -73.97182579818752 40.768270845408686)))",,1083834,,03/13/2019,Constructed,913210,30.23,2100,46.0,0,0,1011110001,1011110001,Photogramm,{ED2C1D65-EC8A-45BA-8922-9A1C27DDA1E4},0,0
73609,"MULTIPOLYGON (((-73.96910612027555 40.77993374995129, -73.96909520010969 40.77996221369338, -73.96902678372498 40.77994693451687, -73.96903777854219 40.77991848701028, -73.96910612027555 40.77993374995129)))",,1083829,,08/17/2017,Constructed,1008684,10.0,5110,103.0,0,0,1011110001,1011110001,Other (Man,{F856BA33-056D-4B44-AA57-E1A6F1268E2B},0,0
